sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-vector-R-2,logZ-err-tensor-vector-R-2
117,966482049.910158,4.293917179,0.045552749000000003,5.612362735,2.0120332519999997,14.349384919,15.538717476999027,57,-4.1704999617820615,0.010028145508947433,-3.695716321786203,0.006878662498658608
118,966482815.0767264,5.9163661,-0.870675325,9.822247467999999,2.935031672,4.681718274,11.269846593249664,30,-4.024596201230313,0.009697941675157088,-4.5427459617850685,0.009712625144819739
119,966483688.4518557,4.229990005,0.42198669899999997,19.229563097,3.9632560669999997,19.730130885,27.834538981153386,100,-8.387205441238672,0.016473668650029336,-8.371304350830437,0.02851865276572539
120,966484526.6208398,1.267366052,0.721895397,22.872812767,14.851676070999998,16.46976676,31.858924387382462,96,-7.540786601444112,0.03121636606002052,-7.14544496321018,0.02080139035273255
121,966485420.0546067,2.875614882,1.114907026,21.412960783,9.398871492,4.136374674,23.747910860981747,73,-6.5355571447124,0.016205834111654858,-6.124917370983057,0.027940073764827853
122,966486300.5334415,3.0788409710000004,0.999722421,13.877520857,9.735560543,12.574985596,21.106799543334276,70,-7.681373367916678,0.03210848481346027,-5.506432183110029,0.017690092258427575
123,966486984.8659459,3.798614979,1.053156018,22.717910871999997,8.125070309,7.36976686,25.22763773097044,86,-5.923132009354361,0.014452850672687397,-7.251029328670299,0.014708763240245564
124,966487965.6237987,2.594747066,-0.438293904,24.953055453,14.55767558,13.220529587,31.77047839258584,95,-7.29162406507728,0.028602740017497574,-6.973053247305482,0.02472562380509339
125,966488791.8541216,5.776751995,-0.158280998,2.3083890869999997,11.57263829,13.56651216,17.980680447513176,59,-7.671376531327125,0.029211619861328975,-7.6528806920807195,0.033342893273682096
126,966489485.9428358,6.20639801,-0.660772681,10.528586034,12.779857724000001,11.149667181,19.96223849091306,59,-8.321239791703961,0.04762864721740505,-6.2750959370889206,0.019908222226986457
127,966490417.8095952,1.990710974,-1.1157950159999999,14.002985868,11.3981166,17.31178207,25.013965572970964,88,-7.911048420156168,0.031721299879102625,-8.12723268540762,0.020262129998885027
